,id,athlete_id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,achievement_count,kudos_count,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,average_heartrate_sort,max_heartrate_sort,elev_high,elev_low,pr_count,suffer_score,date,date_sort,time,distance_f,moving_time_f,pace,start_lat,start_lng
0,11784193817,2.0,Evening Run,5004.1,1198,1198,51.0,Run,3,8,4.177,5.572,83.9,470.1,616.0,472.0,563.2,1,1,170.7,187.0,170.7,187,55.0,25.4,0,62.0,01/07/2024,739068,19:02:04,5.00km,00:19:58,03:59/km,51.0146901011467,-0.3779393434524536
1,11768419246,2.0,Afternoon Ride,65111.0,9367,12774,563.0,Ride,36,5,6.951,15.65,n/a,119.7,n/a,n/a,1120.9,0,1,134.6,158.0,134.6,158,152.6,11.2,12,85.0,29/06/2024,739066,13:07:26,65.11km,02:36:07,25.0km/h,51.01471424102783,-0.3779938258230686
2,11760734410,2.0,Afternoon Run,7483.1,2406,2406,113.0,Run,0,2,3.11,4.268,79.5,356.2,444.0,357.0,857.0,1,1,143.4,155.0,143.4,155,59.2,29.8,0,37.0,28/06/2024,739065,16:41:09,7.48km,00:40:06,05:22/km,51.0147020034492,-0.3778657503426075
3,11752590195,2.0,Afternoon Ride,48865.0,5868,7594,481.0,Ride,51,9,8.327,20.096,n/a,172.9,n/a,n/a,1014.8,0,1,154.1,173.0,154.1,173,117.2,6.8,37,160.0,27/06/2024,739064,13:35:06,48.87km,01:37:48,30.0km/h,51.0146916937083,-0.3780562710016966
4,11737213194,2.0,Afternoon Run,6194.2,1731,1769,21.0,Run,2,7,3.578,7.554,81.5,394.4,760.0,397.0,682.8,1,1,161.5,178.0,161.5,178,15.8,3.4,0,62.0,25/06/2024,739062,17:17:37,6.19km,00:28:51,04:39/km,51.46157721988857,-0.22119968198239803
5,11721803152,2.0,Afternoon Run,5670.4,1446,1446,13.0,Run,11,7,3.921,5.21,82.9,433.8,555.0,437.0,627.3,1,1,174.1,182.0,174.1,182,15.2,4.6,5,84.0,23/06/2024,739060,16:59:07,5.67km,00:24:06,04:15/km,51.461969409137964,-0.22125466726720333
6,11706355433,2.0,Afternoon Run,9165.9,3090,3090,81.0,Run,0,6,2.966,4.238,79.2,341.4,449.0,342.0,1054.9,1,1,146.9,159.0,146.9,159,58.8,27.4,0,61.0,21/06/2024,739058,17:54:45,9.17km,00:51:30,05:37/km,51.01476193405688,-0.3778673429042101
7,11680407519,2.0,Lunch Run,5003.4,1240,1240,49.0,Run,1,5,4.035,5.458,83.4,452.3,650.0,455.0,560.8,1,1,175.4,186.0,175.4,186,55.4,26.6,0,72.0,18/06/2024,739055,12:42:31,5.00km,00:20:40,04:08/km,51.0146605130285,-0.3779343143105507
8,11667691969,2.0,Afternoon Ride,36294.3,4515,4644,335.0,Ride,28,10,8.039,17.105,n/a,157.1,n/a,n/a,709.4,0,1,139.2,170.0,139.2,170,83.8,21.6,8,59.0,16/06/2024,739053,16:25:22,36.29km,01:15:15,28.9km/h,51.014681635424495,-0.3780039679259062
9,11660040110,2.0,Evening Run,7207.8,2306,2618,78.0,Run,0,6,3.126,6.424,80.5,357.1,705.0,357.0,823.5,1,1,149.1,178.0,149.1,178,56.8,24.4,0,48.0,15/06/2024,739052,18:03:17,7.21km,00:38:26,05:20/km,51.01461835205555,-0.37786776199936867
10,11660085987,2.0,Morning Run,5042.1,1582,1582,53.0,Run,0,4,3.187,4.44,80.2,358.0,496.0,357.0,566.3,1,1,151.1,176.0,151.1,176,56.4,25.4,0,38.0,14/06/2024,739051,09:04:25,5.04km,00:26:22,05:14/km,51.01464777253568,-0.37793900817632675
11,11636873741,2.0,Afternoon Run,5011.5,1414,1414,84.0,Run,0,3,3.544,5.346,81.0,395.0,563.0,396.0,558.5,1,1,157.7,171.0,157.7,171,54.8,26.2,0,43.0,12/06/2024,739049,17:59:30,5.01km,00:23:34,04:42/km,51.01454107090831,-0.3784991707652807
12,11629523217,2.0,Evening Run,7002.2,2395,2403,83.0,Run,0,8,2.924,4.19,77.6,336.1,499.0,338.0,804.9,1,1,147.9,161.0,147.9,161,63.8,25.6,0,52.0,11/06/2024,739048,19:23:44,7.00km,00:39:55,05:42/km,51.01469890214503,-0.3778748866170645
13,11597667459,2.0,Evening Run,8005.4,2308,2308,75.0,Run,1,4,3.469,4.96,81.8,397.8,552.0,408.0,918.1,1,1,162.9,183.0,162.9,183,58.2,30.4,0,90.0,07/06/2024,739044,18:42:22,8.01km,00:38:28,04:48/km,51.014520870521665,-0.37875255569815636
